Name,Description,Review,Data type,Category,Source Citation,Source Description,63 Hz,125 Hz,250 Hz,500 Hz,1000 Hz,2000 Hz,4000 Hz,8000 Hz
Mitsubishi  PURY-P800YNSW-A(-BS) Cooling Standard,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,95,85,87,85.5,80,75.5,69.5,66
Mitsubishi  PURY-P800YNSW-A(-BS) Cooling Low Noise,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,85,78,72,69,67.5,63.5,59,64.5
Mitsubishi  PURY-P850YNSW-A(-BS) Cooling Standard,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,94.5,84.5,87,85.5,80,75.5,70,66
Mitsubishi  PURY-P850YNSW-A(-BS) Cooling Low Noise,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,85,77.5,72,69.5,67.5,64,59.5,64
Mitsubishi  PURY-P900YNSW-A(-BS) Cooling Standard,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,94.5,85,87,85.5,80,75.5,70.5,66.5
Mitsubishi  PURY-P900YNSW-A(-BS) Cooling Low Noise,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,85,77.5,72.5,70,68,64.5,60,64
Mitsubishi  PURY-P950YNSW-A(-BS) Cooling Standard,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,96.5,87,87,84,78.5,75,70.5,65.5
Mitsubishi  PURY-P950YNSW-A(-BS) Cooling Low Noise,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,87,79,75.5,69,67,64,60,61.5
Mitsubishi  PURY-P1000YNSW-A(-BS) Cooling Standard,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,98.5,89,87.5,83,77,75.5,72,66
Mitsubishi  PURY-P1000YNSW-A(-BS) Cooling Low Noise,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,89,81.5,78,69,67,64,61,55
Mitsubishi  PURY-P1050YNSW-A(-BS) Cooling Standard,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,99,89,88.5,84.5,78.5,76,72,67.5
Mitsubishi  PURY-P1050YNSW-A(-BS) Cooling Low Noise,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,88,80.5,77.5,69,66.5,64,61,55
Mitsubishi  PURY-P1100YNSW-A(-BS) Cooling Standard,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,99.5,89,89,85,79,76.5,72,68
Mitsubishi  PURY-P1100YNSW-A(-BS) Cooling Low Noise,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,86.5,79.5,77,68.5,66,63.5,61,54.5
Mitsubishi  PURY-P200YNW-A(-BS) Heating Standard,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,88,80,79.5,77,71,66.5,67,61.5
Mitsubishi  PURY-P200YNW-A(-BS) Heating Low Noise,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,62,68,61,59,55,52.5,56,54.5
Mitsubishi  PURY-P250YNW-A(-BS) Heating Standard,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,88,81.5,81,79,73,68.5,69.5,63
Mitsubishi  PURY-P250YNW-A(-BS) Heating Low Noise,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,66.5,70.5,65,63.5,59.5,56,60,56.5
Mitsubishi  PURY-P300YNW-A(-BS) Heating Standard,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,94,89.5,88,85,80,76,71.5,67.5
Mitsubishi  PURY-P300YNW-A(-BS) Heating Low Noise,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,80,77.5,69.5,67,62.5,59,58,61
Mitsubishi  PURY-P350YNW-A(-BS) Heating Standard,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,91,89.5,83,81,76,73,70.5,67
Mitsubishi  PURY-P350YNW-A(-BS) Heating Low Noise,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,80.5,78.5,70.5,67.5,64,60.5,59.5,61
Mitsubishi  PURY-P400YNW-A(-BS) Heating Standard,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,100,88.5,88.5,87,81,78,73,67.5
Mitsubishi  PURY-P400YNW-A(-BS) Heating Low Noise,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,79,77.5,74,67,62.5,62.5,58,53.5
Mitsubishi  PURY-P450YNW-A(-BS) Heating Standard,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,102.5,90,89.5,88,82,79.5,75,69.5
Mitsubishi  PURY-P450YNW-A(-BS) Heating Low Noise,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,79.5,78,75,68,63.5,63,59,54.5
Mitsubishi  PURY-P500YNW-A(-BS) Heating Standard,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,85.5,83.5,85,82,76.5,76,72.5,68
Mitsubishi  PURY-P500YNW-A(-BS) Heating Low Noise,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,82,80,71,69,67.5,61.5,64,60.5
Mitsubishi  PURY-P550YNW-A(-BS) Heating Standard,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,96.5,87,90,88,82,79.5,75,73
Mitsubishi  PURY-P550YNW-A(-BS) Heating Low Noise,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,81.5,80,70.5,68.5,67,61,63.5,60
Mitsubishi  PURY-P400YNSW-A(-BS) Heating Standard,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,82.5,83,82.5,80,74,69.5,70,64.5
Mitsubishi  PURY-P400YNSW-A(-BS) Heating Low Noise,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,65,71,64,62,58,55.5,59,57.5
Mitsubishi  PURY-P450YNSW-A(-BS) Heating Standard,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,89,84,83.5,81.5,75.5,70.5,71.5,65.5
Mitsubishi  PURY-P450YNSW-A(-BS) Heating Low Noise,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,68,72.5,66.5,65,61,58,61.5,59
Mitsubishi  PURY-P500YNSW-A(-BS) Heating Standard,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,91,84.5,84,82,76,71.5,72.5,66
Mitsubishi  PURY-P500YNSW-A(-BS) Heating Low Noise,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,69.5,73.5,68,66.5,62.5,59,63,59.5
Mitsubishi  PURY-P550YNSW-A(-BS) Heating Standard,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,95.5,90.5,89,86.5,81,77,74,69
Mitsubishi  PURY-P550YNSW-A(-BS) Heating Low Noise,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,80.5,78.5,71,69,64.5,61,62.5,62.5
Mitsubishi  PURY-P600YNSW-A(-BS) Heating Standard,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,97,92.5,91,88,83,79,74.5,70.5
Mitsubishi  PURY-P600YNSW-A(-BS) Heating Low Noise,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,83,80.5,72.5,70,65.5,62,61,64
Mitsubishi  PURY-P650YNSW-A(-BS) Heating Standard,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,96,93,89.5,87,82,78,74.5,71
Mitsubishi  PURY-P650YNSW-A(-BS) Heating Low Noise,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,84,81.5,73.5,71,67,63.5,62.5,64.5
Mitsubishi  PURY-P700YNSW-A(-BS) Heating Standard,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,94,92.5,86,84,79,76,73.5,70
Mitsubishi  PURY-P700YNSW-A(-BS) Heating Low Noise,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,83.5,81.5,73.5,70.5,67,63.5,62.5,64
Mitsubishi  PURY-P750YNSW-A(-BS) Heating Standard,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,101,92.5,90,88,82.5,79.5,75,70.5
Mitsubishi  PURY-P750YNSW-A(-BS) Heating Low Noise,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,83,81,75.5,70.5,66.5,64.5,62,61.5
Mitsubishi  PURY-P800YNSW-A(-BS) Heating Standard,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,103,91.5,91.5,90,84,81,76,70.5
Mitsubishi  PURY-P800YNSW-A(-BS) Heating Low Noise,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,82,80.5,77,70,65.5,65.5,61,56.5
Mitsubishi  PURY-P850YNSW-A(-BS) Heating Standard,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,104.5,92.5,92,90.5,84.5,82,77,71.5
Mitsubishi  PURY-P850YNSW-A(-BS) Heating Low Noise,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,82.5,81,77.5,70.5,66,66,61.5,57
Mitsubishi  PURY-P900YNSW-A(-BS) Heating Standard,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,105.5,93,92.5,91,85,82.5,78,72.5
Mitsubishi  PURY-P900YNSW-A(-BS) Heating Low Noise,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,82.5,81,78,71,66.5,66,62,57.5
Mitsubishi  PURY-P950YNSW-A(-BS) Heating Standard,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,103,91,91,89,83,81,77,72
Mitsubishi  PURY-P950YNSW-A(-BS) Heating Low Noise,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,84,82,76.5,71.5,69,65.5,65,61.5
Mitsubishi  PURY-P1000YNSW-A(-BS) Heating Standard,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,88.5,86.5,88,85,79.5,79,75.5,71
Mitsubishi  PURY-P1000YNSW-A(-BS) Heating Low Noise,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,85,83,74,72,70.5,64.5,67,63.5
Mitsubishi  PURY-P1050YNSW-A(-BS) Heating Standard,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,99.5,90,93,91,85,82.5,78,76
Mitsubishi  PURY-P1050YNSW-A(-BS) Heating Low Noise,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,84.5,83,73.5,71.5,70,64,66.5,63
Mitsubishi  PURY-P1100YNSW-A(-BS) Heating Standard,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,99.5,90,93,91,85,82.5,78,76
Mitsubishi  PURY-P1100YNSW-A(-BS) Heating Low Noise,Outdoor Unit - Vertical Discharge,To be reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,Mitsubishi_Electric_PURY-P_YNW-A_Data_Book_Eng,84.5,83,73.5,71.5,70,64,66.5,63
